Radioactive decay
    59
    15   775   27.8
    30   479   21.9
    45   380   19.5
    60   302   17.4
    75   185   13.6
    90   157   12.5
   105   137   11.7
   120   119   10.9
   135   110   10.5
   150    89    9.4
   165    74    8.6
   180    61    7.8
   195    66    8.1
   210    68    8.2
   225    48    6.9
   240    54    7.3
   255    51    7.1
   270    46    6.8
   285    55    7.4
   300    29    5.4
   315    28    5.3
   330    37    6.1
   345    49    7.0
   360    26    5.1
   375    35    5.9
   390    29    5.4
   405    31    5.6
   420    24    4.9
   435    25    5.0
   450    35    5.9
   465    24    4.9
   480    30    5.5
   495    26    5.1
   510    28    5.3
   525    21    4.6
   540    18    4.2
   555    20    4.5
   570    27    5.2
   585    17    4.1
   600    17    4.1
   615    14    3.7
   630    17    4.1
   645    24    4.9
   660    11    3.3
   675    22    4.7
   690    17    4.1
   705    12    3.5
   720    10    3.2
   735    13    3.6
   750    16    4.0
   765     9    3.0
   780     9    3.0
   795    14    3.7
   810    21    4.6
   825    17    4.1
   840    13    3.6
   855    12    3.5
   870    18    4.2
   885    10    3.2
